"Name","Team","PA","BB%","K%","BB/K","AVG","OBP","SLG","OPS","ISO","Spd","BABIP","UBR","wGDP","wSB","wRC","wRAA","wOBA","wRC+","playerid"
"Jeff McNeil","Mets","209","9.6%","11.5%","0.83",".311",".383",".454",".836",".142","1.3",".335","-1.9","0.5","-1.1","33","7.0",".360","130","15362"
"Donovan Solano","Giants","203","4.9%","19.2%","0.26",".326",".365",".463",".828",".137","2.2",".396","-0.2","0.8","-0.2","32","6.4",".357","127","8623"
"Jake Cronenworth","Padres","192","9.4%","15.6%","0.60",".285",".354",".477",".831",".192","6.0",".324","-0.4","-0.6","0.0","30","5.8",".356","125","18036"
"Cavan Biggio","Blue Jays","265","15.5%","23.0%","0.67",".250",".375",".432",".807",".182","4.8",".311","-0.4","0.2","1.0","41","8.0",".355","127","19252"
"Tommy La Stella","- - -","228","11.8%","5.3%","2.25",".281",".370",".449",".819",".168","4.4",".276","-1.6","-0.6","0.0","35","6.9",".355","129","12371"
"Jackie Bradley Jr.","Red Sox","217","10.6%","22.1%","0.48",".283",".364",".450",".814",".168","4.0",".343","0.7","0.7","-0.1","33","5.9",".352","119","12984"
"Mark Canha","Athletics","243","15.2%","22.2%","0.69",".246",".387",".408",".795",".162","6.0",".307","0.9","0.7","0.6","37","6.5",".351","127","11445"
"Aaron Hicks","Yankees","211","19.4%","18.0%","1.08",".225",".379",".414",".793",".189","5.7",".256","1.9","0.5","0.2","32","5.6",".351","123","5297"
"Robbie Grossman","Athletics","192","10.9%","19.8%","0.55",".241",".344",".482",".826",".241","6.8",".267","0.4","0.6","1.0","29","5.0",".351","126","5254"
"David Fletcher","Angels","230","8.7%","10.9%","0.80",".319",".376",".425",".801",".106","3.0",".348","0.0","-0.4","-0.3","35","5.9",".350","125","17992"
"Trent Grisham","Padres","252","12.3%","25.4%","0.48",".251",".352",".456",".808",".205","7.8",".310","-2.7","1.1","1.4","38","6.3",".349","121","18564"
